Country Name,Capitol City,Population,GDP,Area,Happiness Index
Burundi,Bujumbura,11175378,3078029929.00,430,1.000
Malawi,Lilongwe,18143315,7064971176.00,5423,170.000
Niger,Niamey,22442948,9239513530.00,1173,69.000
Madagascar,Antananarivo,26262368,12100459087.00,14475,178.000
Mozambique,Maputo,29495962,14457964381.00,3508,21.000
Somalia,Mogadishu,15008154,7484000000.00,3275,95.000
Central African Republic,Bangui,4666377,2379716827.00,4691,61.000
Afghanistan,Kabul,37172386,19362969582.00,38071,1397.000
Sierra Leone,Freetown,7650154,3999945202.00,2001,69.000
Democratic Republic of the Congo,Kinshasa,84068091,47227535291.00,9891,251.000
Uganda,Kampala,42723139,27476945526.00,2426,25.000
Togo,Lome,7889094,5300214337.00,1309,27.000
Liberia,Monrovia,4818977,3249000000.00,1295,82.000
Chad,N'Djamena,15477751,11302544205.00,995,77.000
Burkina Faso,Ouagadougou,19751535,14441763759.00,1352,55.000
Ethiopia,Addis Ababa,109224559,84355462494.00,43688,709.000
Rwanda,Kigali,12301939,9509003197.00,3537,15.000
Tajikistan,Dushanbe,9100837,7522947810.00,8379,67.000
Haiti,Port-au-Prince,11123176,9658084644.00,8112,196.000
Guinea,Conakry,12414318,10989790256.00,9128,57.000
Mali,Bamako,19077690,17196688920.00,2713,125.000
Benin,Porto-Novo,11485048,10358985583.00,2115,39.000
Yemen,Sanaa,28498687,26914402224.00,1924,557.000
Sudan,Khartoum,41801533,40851536134.00,12974,819.000
Tanzania,Dodoma,56318348,57437073927.00,509,21.000
Nepal,Kathmandu,28087871,28812491892.00,33533,164.000
Mauritania,Nouakchott,4403319,5365868725.00,6928,158.000
Kyrgyzstan,Bishkek,6315800,8092836609.00,43358,1057.000
Lesotho,Maseru,2108132,2791762880.00,1049,30.000
Myanmar,Nay Pyi Taw,53708395,71214803378.00,504,6.000
Pakistan,Islamabad,212215030,313000000000.00,294193,6267.000
Cambodia,Phnom Penh,16249798,24571753583.00,273,0.000
Senegal,Dakar,15854360,24129599552.00,13056,274.000
Cameroon,Yaounde,25216237,38502059858.00,18973,410.000
Uzbekistan,Tashkent,32955400,50499920318.00,39790,289.000
Zambia,Lusaka,17351822,26720073436.00,11285,282.000
South Sudan,Juba,10975920,18435000000.00,2507,47.000
Bangladesh,Dhaka,161356039,274000000000.00,299628,4028.000
Kenya,Nairobi,51393010,87908262520.00,32803,559.000
India,New Delhi,1352617328,2730000000000.00,3234474,59449.000
Nigeria,Abuja,195874740,397000000000.00,52800,1007.000
Nicaragua,Managua,6465513,13117859222.00,4494,137.000
Zimbabwe,Harare,14439018,31000519447.00,6196,166.000
Republic of the Congo,Brazzaville,5244363,11263682694.00,3979,78.000
Ghana,Accra,29767108,65556464056.00,43717,270.000
Honduras,Tegucigalpa,9587522,23803230473.00,55479,1683.000
Egypt,Cairo,98423595,251000000000.00,97619,5298.000
Vietnam,Hanoi,95540395,245000000000.00,1029,27.000
